HEI,SCHOOL,TITLE OF THE PROGRAM,FEES,DURATION,LANGUAGE OF INSTRUCTION
NATIONAL TECHNOLOGICAL INSTITUTE OF CENTRAL MACEDONIA,SCHOOL OF MANAGEMENT AND FINANCE,MBA in Hospitality and Tourism,3.500 EURO,3 SEMESTERS,ENGLISH
NATIONAL TECHNOLOGICAL INSTITUTE OF CENTRAL MACEDONIA,Department of Mechanical Engineering,"MSc Renewable Energy Systems: Design, Development and Optimization",3.900 EURO,3 SEMESTERS,ENGLISH
NATIONAL TECHNOLOGICAL INSTITUTE OF CENTRAL MACEDONIA,SCHOOL OF TECHNOLOGICAL APPLICATIONS,MSc in Communication and Information Systems,2.880 EURO,15 MONTHS,ENGLISH (GREEK)
NATIONAL TECHNOLOGICAL INSTITUTE OF CRETE,SCHOOL OF APPLIED TECHONOLOGY ADMINISTRATION,MSc in Informatics and Multimedia,1.800 EURO,3 SEMESTERS,ENGLISH
Technological Educational Institute of Crete,"Departments of Electrical Engineering, Mechanical Engineering & ",Energy Systems,,24 Months,English
Technological Educational Institute of Crete,Department of Informatics & engineering ,Informatics & Multimedia,1.800 EURO,3 Semesters,English
Technological Educational Institute of Crete,WILL BE OFFEREED,MSc in GEOenvironmental Resources & Risks ,,,
Technological Educational Institute of Crete,WILL BE OFFEREED,MSc in Plasma Physics & Applications ,,,
Technological Educational Institute of Crete & University of Crete,,Professional and Environmental Health,,,
Technological Educational Institute of Crete & University of Crete,,Technologies for Enviromental Protection,,,
Technological Educational Institute of Western Greece,Renewable Energy Sources Laboratory,Msc course in Renewable Energy Systems,4.000 EURO,24 MONTHS,ENGLISH
Technological Educational Institute of Western Greece,Computer and Informatics Engineering Department,Technologies and Infrastructures for Broadband Applications and Services,3.900 EURO,24 MONTHS,ENGLISH
Technological Educational Institute of Eastern Macedonia and Thrake,Dpt. of Petroleum and Natural Gas Technology,  MSc in Oil and Gas Technology,4.500 EURO,,ENGLISH
Technological Educational Institute of Eastern Macedonia and Thrake,Dpt. Of Accountancy,"Master in Accounting, Audit and Internationals Transactions",3.900 EURO,18 MONTHS,ENGLISH
Technological Educational Institute of Eastern Macedonia and Thrake,Dpt. of Forestry and Natural Environment Management,MSc in Management of Water Resources in the Mediterranean,3.200 EURO,12 months,ENGLISH
Technological Educational Institute of Eastern Macedonia and Thrake,Dpt. Of Electrical Engineering,MSc in Innovation in Technology and Entrepreneurship,4.500 EURO,12 MONTHS,ENGLISH
UNIVERSITY OF CRETE,DEPARTMENT OF COMPUTER SCIENCE,Ιnternational Master in Service Engineering (ERASMUS MUNDUS MASTER),10.296 EURO per year for non-EU/EEA students- 4.000 EURO for EU students,24 MONTHS,ENGLISH
UNIVERSITY OF MACEDONIA,SCHOOL OF ECONOMIC AND REGIONAL STUDIES-Department of Balkan Slavic and Oriental Studies,MA Politics and Economics of Contemporary Eastern and Southeastern Europe  ,4.000 EURO,13-15 MONTHS,ENGLISH
UNIVERSITY OF PATRAS,DEPARTMENT OF CHEMICAL ENGINEERING,MA IN CHEMICAL ENGINEERING,NO FEES,24 MONTHS,ENGLISH
UNIVERSITY OF PATRAS,DEPARTMNENT OF CIVIL ENGINEERING,Masters in Earthquake Engineering and Engineering Seismology (MEES) ERASMUS MUNDUS MASTER,12000 EURO,18 MONTHS,ENGLISH
UNIVERSITY OF THE PELOPONNESE ,DEPARTMENT OF SPORTS ORGANIZATION AND MANAGEMENT ,"Master Degree Programme “Olympic Studies, Olympic Education, Organization and Management of Olympic Events”",3.000 EURO,3 SEMESTERS,ENGLISH
,Natural Resources & Environment,,,,
